QueryId,Query Description,Readability
1, What is father's love like?, 1
1, What is father's love like?, 0
1, What is father's love like?, 2
2, Is climbing mountains happy?, 1
3, Why do people eat apples?, 1
4, Suggestions on where to travel., 1
5, How do I repair my phone?, 1
6, Clothes to wear in winter., 1
7, What is a healthy lifestyle?, 1
8, How do I learn to drive cars?, 1
9, Is programming becoming important now?, 1
10, Is the sea beautiful?, 1
11, What's your favorite cooking recipe?, 1
12, How did you come up with names for your pets?, 1
13, How do you resolve conflicts with your loved ones?, 1
14, What kind of advice would you give to a freshman at your college?, 1
15, How did the elderly in your family adjust to the age of the Internet?, 1
16, Any tips for travelling abroad?, 1
17, Share a scientific explanation for a common natural phenomenon., 1
18, How do international students view America?, 1
19, Has any of your family members experienced the Second World War? What was it like?, 1
20, What kind of advice would you give to a new employee at your company?, 1
